ticker,caller,timestamp,Open,high,close,low,supply,market_cap,volume
ETH-USD,backtest_v2,2026-01-17 08:00:00+00:00,3290.28,3295.5,3295.24,3287.87,122373866.2178,403251258915.5433,581.88590056
ETH-USD,backtest_v2,2026-01-17 09:00:00+00:00,3295.25,3302.44,3297.43,3292.37,122373866.2178,403519257682.56024,544.395024
ETH-USD,backtest_v2,2026-01-17 10:00:00+00:00,3297.4,3299.7,3295.14,3293.85,122373866.2178,403239021528.9215,290.32913102
ETH-USD,backtest_v2,2026-01-17 11:00:00+00:00,3294.9,3304.22,3301.79,3291.16,122373866.2178,404052807739.2699,412.02819651
ETH-USD,backtest_v2,2026-01-17 12:00:00+00:00,3301.65,3305.17,3301.49,3299.18,122373866.2178,404016095579.40454,271.28570827
ETH-USD,backtest_v2,2026-01-17 13:00:00+00:00,3301.46,3303.53,3302.67,3298.36,122373866.2178,404160496741.54156,360.41116117
ETH-USD,backtest_v2,2026-01-17 14:00:00+00:00,3302.66,3310.44,3309.11,3300.46,122373866.2178,404948584439.9842,883.57326401
ETH-USD,backtest_v2,2026-01-17 15:00:00+00:00,3309.01,3329.02,3328.43,3307.0,122373866.2178,407312847535.3121,2202.52952339
ETH-USD,backtest_v2,2026-01-17 16:00:00+00:00,3328.64,3328.99,3317.88,3311.26,122373866.2178,406021803246.7143,2292.86160433
ETH-USD,backtest_v2,2026-01-17 17:00:00+00:00,3317.88,3326.57,3318.13,3316.1,122373866.2178,406052396713.26874,1047.13800544
ETH-USD,backtest_v2,2026-01-17 18:00:00+00:00,3318.95,3319.61,3316.73,3313.51,122373866.2178,405881073300.56384,806.36625923
ETH-USD,backtest_v2,2026-01-17 19:00:00+00:00,3316.73,3320.34,3315.18,3313.65,122373866.2178,405691393807.9262,690.93523252
ETH-USD,backtest_v2,2026-01-17 20:00:00+00:00,3315.18,3318.9,3316.2,3313.65,122373866.2178,405816215151.4684,594.68496481
ETH-USD,backtest_v2,2026-01-17 21:00:00+00:00,3316.2,3316.31,3311.51,3306.17,122373866.2178,405242281718.9069,654.07437216
ETH-USD,backtest_v2,2026-01-17 22:00:00+00:00,3311.5,3311.73,3300.61,3296.11,122373866.2178,403908406577.1329,1677.73882861
ETH-USD,backtest_v2,2026-01-17 23:00:00+00:00,3300.61,3309.38,3309.33,3300.01,122373866.2178,404975506690.55206,1074.66809696
ETH-USD,backtest_v2,2026-01-18 00:00:00+00:00,3309.0,3313.39,3303.21,3301.72,122373866.2178,404226578629.29913,1212.23151621
ETH-USD,backtest_v2,2026-01-18 01:00:00+00:00,3303.2,3305.89,3299.94,3293.92,122373866.2178,403826416086.76697,1256.06905798
ETH-USD,backtest_v2,2026-01-18 02:00:00+00:00,3299.79,3304.64,3301.8,3295.21,122373866.2178,404054031477.93207,1054.16550835
ETH-USD,backtest_v2,2026-01-18 03:00:00+00:00,3302.03,3317.38,3314.66,3301.06,122373866.2178,405627759397.493,846.23666142
ETH-USD,backtest_v2,2026-01-18 04:00:00+00:00,3314.61,3316.71,3310.73,3308.35,122373866.2178,405146830103.257,719.50484325
ETH-USD,backtest_v2,2026-01-18 05:00:00+00:00,3310.74,3316.94,3314.9,3309.76,122373866.2178,405657129125.38525,576.89773609
ETH-USD,backtest_v2,2026-01-18 06:00:00+00:00,3315.0,3316.65,3314.29,3310.63,122373866.2178,405582481066.9924,509.75848499
ETH-USD,backtest_v2,2026-01-18 07:00:00+00:00,3314.28,3314.96,3306.13,3304.63,122373866.2178,404583910318.65515,595.64568886
ETH-USD,backtest_v2,2026-01-18 08:00:00+00:00,3306.26,3315.55,3314.33,3302.41,122373866.2178,405587376021.6411,487.72591335
ETH-USD,backtest_v2,2026-01-18 09:00:00+00:00,3314.32,3323.66,3321.76,3313.0,122373866.2178,406496613847.6394,835.54912289
ETH-USD,backtest_v2,2026-01-18 10:00:00+00:00,3321.76,3324.9,3324.41,3317.26,122373866.2178,406820904593.1165,298.9101886
ETH-USD,backtest_v2,2026-01-18 11:00:00+00:00,3324.42,3324.42,3321.03,3317.95,122373866.2178,406407280925.30035,518.91396057
ETH-USD,backtest_v2,2026-01-18 12:00:00+00:00,3321.04,3325.8,3321.12,3317.58,122373866.2178,406418294573.25995,916.71053361
ETH-USD,backtest_v2,2026-01-18 13:00:00+00:00,3321.12,3329.07,3324.87,3313.5,122373866.2178,406877196571.5767,1222.9840962
ETH-USD,backtest_v2,2026-01-18 14:00:00+00:00,3324.86,3346.71,3323.58,3321.26,122373866.2178,406719334284.15576,2101.46117913
ETH-USD,backtest_v2,2026-01-18 15:00:00+00:00,3323.58,3334.64,3332.3,3317.59,122373866.2178,407786434397.575,1188.41601365
ETH-USD,backtest_v2,2026-01-18 16:00:00+00:00,3332.48,3337.5,3332.31,3328.64,122373866.2178,407787658136.2371,1029.55594477
ETH-USD,backtest_v2,2026-01-18 17:00:00+00:00,3332.56,3344.34,3343.64,3331.14,122373866.2178,409174154040.4848,979.05875301
ETH-USD,backtest_v2,2026-01-18 18:00:00+00:00,3343.5,3367.65,3360.9,3335.8,122373866.2178,411286326971.40405,3240.26619409
ETH-USD,backtest_v2,2026-01-18 19:00:00+00:00,3360.9,3364.94,3345.87,3343.05,122373866.2178,409447047762.1505,1714.53485975
ETH-USD,backtest_v2,2026-01-18 20:00:00+00:00,3345.95,3352.67,3340.1,3337.48,122373866.2178,408740950554.0738,1330.96017901
ETH-USD,backtest_v2,2026-01-18 21:00:00+00:00,3340.1,3344.55,3340.6,3335.81,122373866.2178,408802137487.1827,978.67600528
ETH-USD,backtest_v2,2026-01-18 22:00:00+00:00,3340.6,3355.1,3349.5,3338.79,122373866.2178,409891264896.5211,1346.85183279
ETH-USD,backtest_v2,2026-01-18 23:00:00+00:00,3349.5,3349.5,3282.55,3276.92,122373866.2178,401698334553.23944,9474.23268385
ETH-USD,backtest_v2,2026-01-19 00:00:00+00:00,3282.5,3282.71,3210.87,3177.0,122373866.2178,392926575822.7475,17790.14992499
ETH-USD,backtest_v2,2026-01-19 01:00:00+00:00,3210.86,3220.93,3205.4,3193.32,122373866.2178,392257190774.53613,4346.1735186
ETH-USD,backtest_v2,2026-01-19 02:00:00+00:00,3205.2,3215.14,3202.88,3193.03,122373866.2178,391948808631.6673,3328.23098634
ETH-USD,backtest_v2,2026-01-19 03:00:00+00:00,3202.78,3211.94,3211.02,3194.1,122373866.2178,392944931902.6802,2403.42358227
ETH-USD,backtest_v2,2026-01-19 04:00:00+00:00,3210.78,3216.14,3211.14,3203.56,122373866.2178,392959616766.6263,2631.24795228
ETH-USD,backtest_v2,2026-01-19 05:00:00+00:00,3211.14,3213.78,3201.34,3194.62,122373866.2178,391760352877.6919,3476.39147454
ETH-USD,backtest_v2,2026-01-19 06:00:00+00:00,3201.34,3203.49,3194.18,3186.01,122373866.2178,390884155995.5724,2681.85286072
ETH-USD,backtest_v2,2026-01-19 07:00:00+00:00,3194.18,3207.59,3205.65,3194.0,122373866.2178,392287784241.0906,2416.00428817
ETH-USD,backtest_v2,2026-01-19 08:00:00+00:00,3205.66,3220.21,3212.35,3195.82,122373866.2178,393107689144.7498,4292.22516222
ETH-USD,backtest_v2,2026-01-19 09:00:00+00:00,3212.16,3213.21,3207.56,3204.16,122373866.2178,392521518325.5666,2669.60321752
ETH-USD,backtest_v2,2026-01-19 10:00:00+00:00,3207.56,3214.91,3213.69,3203.53,122373866.2178,393271670125.4817,1484.04223624
ETH-USD,backtest_v2,2026-01-19 11:00:00+00:00,3213.85,3229.59,3221.75,3210.88,122373866.2178,394258003487.19714,1655.99257741
ETH-USD,backtest_v2,2026-01-19 12:00:00+00:00,3221.96,3233.74,3223.1,3217.29,122373866.2178,394423208206.5912,1879.29009811
