ticker,caller,low,high,Open,close,volume,timestamp,supply,eth_daily_tx,market_cap,btc_open,btc_high,btc_low,btc_close,btc_volume
ETH-USD,main,2935.92,2971.13,2959.9,2940.49,2797.39109575,2026-01-21 11:00:00+00:00,122373866.2178,2473536.0,359839129874.7787,89139.58,89283.99,88600.0,88691.8,187.44217177
ETH-USD,main,2900.01,2943.61,2940.46,2928.59,7135.69179339,2026-01-21 12:00:00+00:00,122373866.2178,2473536.0,358382880866.7869,88691.73,88753.6,88107.16,88642.01,414.41203528
ETH-USD,main,2917.21,2942.63,2928.48,2925.4,4290.22018072,2026-01-21 13:00:00+00:00,122373866.2178,2473536.0,357992508233.5521,88642.0,88948.99,88444.85,88580.0,375.34263604
ETH-USD,main,2921.63,2991.76,2925.39,2977.7,11266.34981091,2026-01-21 14:00:00+00:00,122373866.2178,2473536.0,364392661436.74304,88575.4,89918.5,88512.11,89713.15,1115.60597337
ETH-USD,main,2971.81,3024.0,2977.66,3000.2,10614.85011888,2026-01-21 15:00:00+00:00,122373866.2178,2473536.0,367146073426.64355,89710.4,90500.0,89655.92,90208.16,604.83318892
ETH-USD,main,2882.69,3003.04,3000.19,2888.5,18105.1506268,2026-01-21 16:00:00+00:00,122373866.2178,2473536.0,353476912570.1153,90208.15,90290.74,87480.0,87501.32,1539.01501425
ETH-USD,main,2863.4,2911.17,2888.63,2900.5,16003.76952343,2026-01-21 17:00:00+00:00,122373866.2178,2473536.0,354945398964.72894,87505.99,88068.98,87156.0,87836.0,1705.99010958
ETH-USD,main,2884.69,2931.53,2900.89,2924.88,11875.64588596,2026-01-21 18:00:00+00:00,122373866.2178,2473536.0,357928873823.1189,87826.43,88570.86,87484.36,88395.99,670.22043302
ETH-USD,main,2913.23,3066.65,2924.96,3053.05,15834.02617118,2026-01-21 19:00:00+00:00,122373866.2178,2473536.0,373613532256.25433,88395.97,90368.7,88194.0,90281.8,1006.18098188
ETH-USD,main,3000.21,3055.51,3053.17,3028.41,20873.52503102,2026-01-21 20:00:00+00:00,122373866.2178,2473536.0,370598240192.6477,90281.8,90304.0,89367.01,90136.01,1035.4114781
ETH-USD,main,3018.0,3041.48,3028.74,3029.01,4146.07600501,2026-01-21 21:00:00+00:00,122373866.2178,2473536.0,370671664512.3784,90136.0,90262.98,89873.87,90180.23,560.78836753
ETH-USD,main,3007.19,3042.7,3029.01,3008.0,2485.26415011,2026-01-21 22:00:00+00:00,122373866.2178,2473536.0,368100589583.1424,90180.23,90313.78,89690.6,89690.61,186.5720392
ETH-USD,main,2969.35,3023.17,3007.95,2979.6,10449.03926551,2026-01-21 23:00:00+00:00,122373866.2178,2473536.0,364625171782.5569,89690.61,90146.29,89269.65,89363.71,295.53892103
ETH-USD,main,2978.11,3008.81,2979.59,3002.81,3720.04169783,2026-01-22 00:00:00+00:00,122373866.2178,2372922.0,367465469217.47205,89363.71,89955.0,89363.71,89828.22,218.77743868
ETH-USD,main,3000.02,3030.99,3003.0,3025.89,3130.70121713,2026-01-22 01:00:00+00:00,122373866.2178,2372922.0,370289858049.7789,89828.21,90115.49,89737.65,90016.2,178.76194945
ETH-USD,main,3012.12,3035.84,3025.89,3014.81,3353.82725132,2026-01-22 02:00:00+00:00,122373866.2178,2372922.0,368933955612.08563,90016.2,90273.35,89740.42,89850.13,192.11387755
ETH-USD,main,2996.51,3028.14,3014.82,3010.7,2378.51083332,2026-01-22 03:00:00+00:00,122373866.2178,2372922.0,368430999021.9305,89850.14,90075.3,89605.99,89801.93,145.84871084
