ticker,caller,low,high,Open,close,volume,timestamp
BTC-USD,main,7302.95,7366.53,7335.64,7319.27,923.96116673,2020-04-08 17:00:00+00:00
BTC-USD,main,7301.92,7343.67,7319.26,7327.66,634.1870555,2020-04-08 18:00:00+00:00
BTC-USD,main,7265.0,7344.12,7327.24,7316.84,693.37343614,2020-04-08 19:00:00+00:00
BTC-USD,main,7307.96,7373.34,7317.5,7322.55,536.35242961,2020-04-08 20:00:00+00:00
BTC-USD,main,7296.99,7370.0,7322.42,7335.2,469.63221385,2020-04-08 21:00:00+00:00
BTC-USD,main,7325.02,7387.74,7335.11,7366.74,566.23056386,2020-04-08 22:00:00+00:00
BTC-USD,main,7349.81,7397.5,7366.74,7370.11,649.15100406,2020-04-08 23:00:00+00:00
BTC-USD,main,7329.2,7377.0,7370.38,7355.19,595.63046346,2020-04-09 00:00:00+00:00
BTC-USD,main,7293.69,7359.99,7356.77,7322.49,496.52598315,2020-04-09 01:00:00+00:00
BTC-USD,main,7301.6,7335.79,7320.65,7326.94,322.164772,2020-04-09 02:00:00+00:00
BTC-USD,main,7261.01,7326.91,7326.91,7292.47,446.01273895,2020-04-09 03:00:00+00:00
BTC-USD,main,7241.91,7305.89,7292.47,7296.02,418.14368006,2020-04-09 04:00:00+00:00
BTC-USD,main,7278.84,7319.13,7296.02,7316.22,211.68232212,2020-04-09 05:00:00+00:00
BTC-USD,main,7301.45,7329.99,7316.21,7323.75,154.33424235,2020-04-09 06:00:00+00:00
BTC-USD,main,7293.33,7349.55,7327.26,7340.41,217.66793392,2020-04-09 07:00:00+00:00
BTC-USD,main,7325.09,7363.99,7340.42,7344.33,213.90108814,2020-04-09 08:00:00+00:00
BTC-USD,main,7305.79,7344.32,7344.32,7305.82,97.26926466,2020-04-09 09:00:00+00:00
BTC-USD,main,7289.56,7325.0,7305.81,7319.57,221.03025853,2020-04-09 10:00:00+00:00
BTC-USD,main,7137.45,7338.8,7319.57,7184.31,1161.92761625,2020-04-09 11:00:00+00:00
BTC-USD,main,7110.0,7322.08,7189.09,7319.83,1202.82971439,2020-04-09 12:00:00+00:00
BTC-USD,main,7290.0,7363.99,7318.75,7345.77,893.09196164,2020-04-09 13:00:00+00:00
BTC-USD,main,7295.6,7365.0,7347.83,7333.2,646.05215774,2020-04-09 14:00:00+00:00
BTC-USD,main,7260.0,7337.72,7334.41,7290.42,851.63129054,2020-04-09 15:00:00+00:00
BTC-USD,main,7275.0,7306.53,7290.42,7287.69,535.75711368,2020-04-09 16:00:00+00:00
BTC-USD,main,7280.53,7319.84,7288.39,7302.59,519.81896436,2020-04-09 17:00:00+00:00
BTC-USD,main,7240.0,7302.6,7302.6,7263.37,852.42762647,2020-04-09 18:00:00+00:00
BTC-USD,main,7246.62,7287.46,7263.38,7271.23,739.35678,2020-04-09 19:00:00+00:00
BTC-USD,main,7251.06,7312.0,7271.22,7307.31,611.72270264,2020-04-09 20:00:00+00:00
BTC-USD,main,7278.9,7320.99,7307.31,7320.99,357.24228996,2020-04-09 21:00:00+00:00
BTC-USD,main,7296.0,7323.55,7321.27,7321.63,257.16436845,2020-04-09 22:00:00+00:00
BTC-USD,main,7289.06,7323.54,7321.07,7293.24,346.4573417,2020-04-09 23:00:00+00:00
BTC-USD,main,7260.0,7305.91,7293.23,7303.48,385.48878929,2020-04-10 00:00:00+00:00
BTC-USD,main,7262.01,7305.56,7303.48,7270.53,264.58665108,2020-04-10 01:00:00+00:00
BTC-USD,main,7210.53,7276.27,7270.53,7260.0,425.31544347,2020-04-10 02:00:00+00:00
BTC-USD,main,7160.16,7260.0,7260.0,7182.56,537.05843654,2020-04-10 03:00:00+00:00
BTC-USD,main,7089.12,7182.56,7182.56,7148.5,1291.3644428,2020-04-10 04:00:00+00:00
BTC-USD,main,6917.68,7148.51,7148.51,6958.94,2627.30121887,2020-04-10 05:00:00+00:00
BTC-USD,main,6937.0,7006.1,6955.6,6964.75,922.2710496,2020-04-10 06:00:00+00:00
BTC-USD,main,6875.0,6964.76,6964.76,6931.01,1441.27877656,2020-04-10 07:00:00+00:00
BTC-USD,main,6880.54,6961.27,6933.53,6925.92,544.49823906,2020-04-10 08:00:00+00:00
BTC-USD,main,6852.92,6940.47,6924.89,6930.01,644.470606,2020-04-10 09:00:00+00:00
BTC-USD,main,6900.41,6957.21,6929.73,6939.84,312.73157937,2020-04-10 10:00:00+00:00
BTC-USD,main,6900.0,6939.84,6939.84,6902.19,334.5463641,2020-04-10 11:00:00+00:00
BTC-USD,main,6888.07,6937.55,6902.19,6935.2,469.41756938,2020-04-10 12:00:00+00:00
BTC-USD,main,6812.78,6934.7,6934.69,6914.01,1072.60743014,2020-04-10 13:00:00+00:00
BTC-USD,main,6840.0,6925.0,6914.01,6857.78,849.81490806,2020-04-10 14:00:00+00:00
BTC-USD,main,6750.0,6875.23,6857.74,6775.69,2032.66459124,2020-04-10 15:00:00+00:00
BTC-USD,main,6750.0,6877.38,6775.82,6877.38,1005.75571469,2020-04-10 16:00:00+00:00
BTC-USD,main,6854.48,6910.0,6873.3,6878.06,1012.0388549,2020-04-10 17:00:00+00:00
BTC-USD,main,6861.21,6935.0,6878.06,6923.77,572.4022851,2020-04-10 18:00:00+00:00
BTC-USD,main,6873.83,6962.16,6923.77,6917.95,865.09457947,2020-04-10 19:00:00+00:00
BTC-USD,main,6880.79,6934.87,6917.94,6920.49,475.44927892,2020-04-10 20:00:00+00:00
BTC-USD,main,6900.0,6949.43,6920.49,6908.43,464.02868356,2020-04-10 21:00:00+00:00
BTC-USD,main,6837.55,6932.57,6908.44,6870.0,684.39657679,2020-04-10 22:00:00+00:00
BTC-USD,main,6832.18,6889.11,6870.0,6871.91,436.60813899,2020-04-10 23:00:00+00:00
BTC-USD,main,6850.87,6921.0,6871.83,6915.43,377.29735118,2020-04-11 00:00:00+00:00
